0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.005172
7	0.087931
8	0.046552
9	0.062069
10	0.156897
11	0.232759
12	0.253448
13	0.232759
14	0.282759
15	0.294828
16	0.294828
17	0.293103
18	0.315517
19	0.358621
20	0.363793
21	0.350000
22	0.356897
23	0.365517
24	0.367241
25	0.368966
26	0.427586
27	0.406897
28	0.405172
29	0.484483
30	0.463793
31	0.529310
32	0.582759
33	0.555172
34	0.572414
35	0.651724
36	0.672414
37	0.698276
38	0.737931
39	0.706897
40	0.743103
41	0.720690
42	0.741379
43	0.763793
44	0.765517
45	0.777586
46	0.767241
47	0.782759
48	0.810345
49	0.817241
50	0.817241
51	0.808621
52	0.812069
53	0.831034
54	0.837931
55	0.829310
56	0.839655
57	0.846552
58	0.850000
59	0.850000
60	0.872414
61	0.875862
62	0.877586
63	0.881034
64	0.882759
65	0.887931
66	0.886207
67	0.886207
68	0.891379
69	0.893103
70	0.900000
71	0.898276
72	0.884483
73	0.889655
74	0.900000
75	0.906897
76	0.910345
77	0.913793
78	0.912069
79	0.915517
80	0.913793
81	0.924138
82	0.920690
83	0.920690
84	0.943103
85	0.941379
86	0.932759
87	0.941379
88	0.941379
89	0.927586
90	0.929310
91	0.939655
92	0.936207
93	0.934483
94	0.944828
95	0.948276
96	0.962069
97	0.948276
98	0.946552
99	0.946552
100	0.948276
101	0.955172
102	0.955172
103	0.955172
104	0.951724
105	0.953448
106	0.960345
107	0.958621
108	0.946552
109	0.946552
110	0.958621
111	0.958621
112	0.962069
113	0.967241
114	0.963793
115	0.968966
116	0.963793
117	0.972414
118	0.970690
119	0.970690
